,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
134922,67887,Lee Gwang-Ik,M,19.0,181.0,80.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,,0,0,-7.32,-7.24,-6.21
136987,68870,Heikki Olavi Leppnen,M,29.0,194.0,96.0,Finland,FIN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,,0,0,6.85,10.06,4.11
137234,68996,Roger Lespagnard,M,21.0,180.0,78.0,Belgium,BEL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,,0,0,-5.09,-6.15,-4.91
137235,68996,Roger Lespagnard,M,25.0,180.0,78.0,Belgium,BEL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,,0,0,-5.91,-6.97,-0.12
137236,68996,Roger Lespagnard,M,29.0,180.0,78.0,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,,0,0,-7.15,-7.94,4.11
137545,69141,Sbastien Levicq,M,25.0,186.0,81.0,France,FRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,-2.78,-4.21,-1.12
137546,69141,Sbastien Levicq,M,29.0,186.0,81.0,France,FRA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,-2.32,-3.96,1.68
137832,69276,Dennis Leyckes,M,22.0,184.0,80.0,Germany,GER,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,-5.59,-7.38,-3.72
141096,70812,Luiggy Llanos Cruz,M,25.0,182.0,80.0,Puerto Rico,PUR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,-7.59,-7.38,-0.72
141351,70935,Lev Alekseyevich Lobodin,M,27.0,188.0,93.0,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,-0.78,7.79,0.88
141352,70935,Lev Alekseyevich Lobodin,M,31.0,188.0,93.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,-0.32,8.04,3.68
141353,70935,Lev Alekseyevich Lobodin,M,35.0,188.0,93.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,-1.59,5.62,9.28
141915,71193,Aric Solomon Long,M,22.0,190.0,92.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,2.11,5.99,-3.03
141973,71222,Clive Citreon Olaf Longe,M,29.0,185.0,90.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,,0,0,-0.09,5.85,3.09
142592,71548,Santiago Lorenzo,M,26.0,191.0,93.0,Argentina,ARG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,1.41,5.62,0.28
143636,72098,Dariusz Marek Ludwig,M,25.0,186.0,84.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Decathlon,,0,0,-1.9,-0.76,0.9
144852,72693,Leonid Dmytrovych Lytvynenko,M,23.0,185.0,87.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,Silver,1,0,-0.91,2.03,-2.12
144853,72693,Leonid Dmytrovych Lytvynenko,M,27.0,185.0,87.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,,0,1,-2.15,1.06,2.11
145262,72907,Dean Alan Macey,M,22.0,196.0,92.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,7.68,7.04,-5.32
145263,72907,Dean Alan Macey,M,26.0,196.0,92.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,6.41,4.62,0.28
145763,73149,Mike Maczey,M,27.0,188.0,81.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,-0.32,-3.96,-0.32
146399,73468,Jn Arnar Magnsson,M,26.0,183.0,86.0,Iceland,ISL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,-5.78,0.79,-0.12
146400,73468,Jn Arnar Magnsson,M,31.0,183.0,86.0,Iceland,ISL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,-5.32,1.04,3.68
146401,73468,Jn Arnar Magnsson,M,35.0,183.0,86.0,Iceland,ISL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,-6.59,-1.38,9.28
148169,74350,Horst Mandl,M,32.0,187.0,86.0,Austria,AUT,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,,0,0,1.91,1.85,6.09
148340,74428,"Rudolf ""Ruedi"" Mangisch",M,19.0,184.0,84.0,Switzerland,SUI,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,,0,0,-1.91,-0.97,-6.12
149352,74917,Claus-Hermann Marek,M,22.0,186.0,89.0,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,,0,0,-1.15,3.06,-2.89
149590,75031,Lopold Marien,M,26.0,180.0,78.0,Belgium,BEL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Decathlon,,0,0,-4.07,-3.87,1.83
150795,75663,Eugne Julien Martineau,M,24.0,180.0,80.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,-9.59,-7.38,-1.72
150796,75663,Eugne Julien Martineau,M,28.0,180.0,80.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,-9.95,-7.35,2.62
153401,76987,Kvin Mayer,M,20.0,186.0,77.0,France,FRA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,,0,0,-3.74,-9.45,-5.68
153402,76987,Kvin Mayer,M,24.0,186.0,77.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,Silver,1,0,-2.1,-7.3,-2.4
155293,77963,"Bradley Steven ""Brad"" McStravick",M,24.0,184.0,80.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Decathlon,,0,0,-3.9,-4.76,-0.1
155294,77963,"Bradley Steven ""Brad"" McStravick",M,28.0,184.0,80.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,,0,0,-3.44,-4.72,2.88
155827,78235,Paul Meier,M,20.0,194.0,86.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,6.11,-0.01,-5.03
155836,78240,Walter Meier,M,33.0,186.0,85.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Decathlon,,0,0,1.93,3.13,8.83
156240,78463,Santiago Mellado,M,25.0,172.0,75.0,El Salvador,ESA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,,0,0,-16.32,-12.24,-0.21
158551,79588,Rodolfo Mijares Garza,M,22.0,180.0,75.0,Mexico,MEX,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Decathlon,,0,0,-4.07,-6.87,-2.17
158619,79625,Eduard Viktorovich Mikhan,M,23.0,195.0,86.0,Belarus,BLR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,,0,0,5.26,-0.45,-2.68
159118,79867,Albert Barry Miller,M,26.0,185.0,78.0,Fiji,FIJ,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,,0,0,-2.44,-6.72,0.88
159120,79867,Albert Barry Miller,M,30.0,185.0,78.0,Fiji,FIJ,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,,0,0,-3.32,-9.24,4.79
159122,79867,Albert Barry Miller,M,34.0,185.0,78.0,Fiji,FIJ,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,-2.89,-8.01,8.97
161891,81278,Erich Momberger,M,23.0,187.0,85.0,Papua New Guinea,PNG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,-0.89,-1.01,-2.03
163738,82187,"Guerrino ""Gerry"" Moro",M,21.0,184.0,84.0,Canada,CAN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Decathlon,,0,0,0.05,0.29,-4.67
163739,82187,"Guerrino ""Gerry"" Moro",M,29.0,184.0,84.0,Canada,CAN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,,0,0,-1.91,-0.97,3.88
164172,82407,Severin Moser,M,25.0,186.0,80.0,Switzerland,SUI,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,,0,0,-2.32,-7.24,-0.21
164396,82535,William Motti,M,20.0,198.0,95.0,France,FRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,,0,0,10.56,10.28,-5.12
164397,82535,William Motti,M,27.0,198.0,95.0,France,FRA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,10.11,8.99,1.97
164579,82638,Ahmad Hassan Moussa,M,23.0,188.0,80.0,Qatar,QAT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,-1.59,-7.38,-2.72
164955,82844,"Johann ""Hans"" Muchitsch",M,27.0,182.0,72.0,Austria,AUT,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Decathlon,,0,0,-2.07,-9.87,2.83
165317,83019,"Philip Roy ""Phil"" Mulkey",M,27.0,178.0,75.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Decathlon,,0,0,-6.07,-6.87,2.83
165374,83062,Frank Mller,M,24.0,193.0,78.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,5.11,-8.01,-1.03
165375,83062,Frank Mller,M,28.0,193.0,78.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,4.22,-7.21,1.88
165837,83303,Sndor Munkcsy,M,23.0,184.0,83.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,-3.89,-3.01,-2.03
166811,83800,"Robert Stanley ""Rob"" Muzzio",M,28.0,188.0,91.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,0.11,4.99,2.97
166822,83811,Wilfred Mwalawanda Ngwenya,M,27.0,175.0,78.0,Malawi,MAW,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,,0,0,-10.91,-6.97,1.88
166945,83879,Volodymyr Oleksiyovych Mykhailenko,M,27.0,190.0,79.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,1.68,-5.96,-0.32
167773,84301,Akihiko Nakamura,M,25.0,180.0,73.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,,0,0,-8.1,-11.3,-1.4
168801,84849,Andrei Nazarov,M,27.0,190.0,80.0,Estonia,EST,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,2.11,-6.01,1.97
168802,84849,Andrei Nazarov,M,31.0,190.0,80.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,1.22,-5.21,4.88
170276,85557,Brent Newdick,M,27.0,186.0,90.0,New Zealand,NZL,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,,0,0,-3.74,3.55,1.32
171619,86237,Andr Niklaus,M,26.0,190.0,84.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,0.05,-3.35,0.62
171622,86239,Stephan Niklaus,M,22.0,189.0,90.0,Switzerland,SUI,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Decathlon,,0,0,1.1,5.24,-2.1
172800,86823,Erki Nool,M,22.0,184.0,84.0,Estonia,EST,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,-3.89,-2.01,-3.03
172801,86823,Erki Nool,M,26.0,184.0,84.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,-4.78,-1.21,-0.12
172802,86823,Erki Nool,M,30.0,184.0,84.0,Estonia,EST,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,Gold,1,0,-4.32,-0.96,2.68
172803,86823,Erki Nool,M,34.0,184.0,84.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,1,-5.59,-3.38,8.28
174514,87651,"Daniel Dion ""Dan"" O'Brien",M,30.0,188.0,84.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,Gold,1,0,-0.78,-1.21,3.88
174880,87853,Carlos O'Connell,M,25.0,192.0,93.0,Ireland,IRL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,,0,0,3.68,5.76,-0.21
175766,88352,Jaakko Matias Ojaniemi,M,23.0,193.0,87.0,Finland,FIN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,3.41,-0.38,-2.72
176186,88587,Lars Mikael Olander,M,25.0,188.0,90.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,,0,0,-0.32,2.76,-0.21
179839,90386,Luciano Paccagnella,M,21.0,195.0,85.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Decathlon,,0,0,10.93,3.13,-3.17
180250,90587,Mikk Pahapill,M,25.0,197.0,93.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,7.05,5.65,-0.38
180333,90632,Dirk-Achim Pajonk,M,27.0,190.0,80.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,1.22,-5.21,0.88
181645,91295,"Thomas ""Tom"" Pappas",M,24.0,196.0,98.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,7.68,13.04,-3.32
181646,91295,"Thomas ""Tom"" Pappas",M,27.0,196.0,98.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,6.41,10.62,1.28
181647,91295,"Thomas ""Tom"" Pappas",M,31.0,196.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,6.05,10.65,5.62
182392,91689,Aleksandr Aleksandrovich Parkhomenko,M,23.0,182.0,85.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,-7.59,-2.38,-2.72
182393,91689,Aleksandr Aleksandrovich Parkhomenko,M,27.0,182.0,85.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,-7.95,-2.35,1.62
184972,92971,Antonio Pealver Asencio,M,19.0,193.0,93.0,Spain,ESP,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,,0,0,4.68,5.76,-6.21
184973,92971,Antonio Pealver Asencio,M,23.0,193.0,93.0,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,Silver,1,0,5.11,6.99,-2.03
184974,92971,Antonio Pealver Asencio,M,27.0,193.0,93.0,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,1,4.22,7.79,0.88
185882,93459,Hans-Joachim Perk,M,26.0,188.0,87.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,,0,0,2.09,2.03,0.88
185975,93499,Ludk Pernica,M,26.0,189.0,84.0,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,,0,0,1.85,-1.94,1.11
188732,94811,Lauri Raimo Pihl,M,26.0,187.0,90.0,Sweden,SWE,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,,0,0,-0.15,4.06,1.11
189453,95146,"Douglas Stuart ""Doug"" Pirini",M,26.0,181.0,78.0,New Zealand,NZL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,-7.78,-7.21,-0.12
189731,95290,Rojs Piziks,M,25.0,195.0,90.0,Latvia,LAT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,6.22,4.79,-1.12
190005,95431,Christian Plaziat,M,24.0,191.0,87.0,France,FRA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,,0,0,2.68,-0.24,-1.21
190006,95431,Christian Plaziat,M,28.0,191.0,87.0,France,FRA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,3.11,0.99,2.97
190007,95431,Christian Plaziat,M,32.0,191.0,87.0,France,FRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,2.22,1.79,5.88
190409,95637,Simon Roderick Poelman,M,25.0,187.0,95.0,New Zealand,NZL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,,0,0,-1.32,7.76,-0.21
190410,95637,Simon Roderick Poelman,M,29.0,187.0,95.0,New Zealand,NZL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,-0.89,8.99,3.97
190471,95664,Aleksandr Gennadyevich Pogorelov,M,24.0,201.0,97.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,11.41,9.62,-1.72
190472,95664,Aleksandr Gennadyevich Pogorelov,M,28.0,201.0,97.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,11.05,9.65,2.62
191944,96375,Beniamino Poserina,M,25.0,186.0,76.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,-2.78,-9.21,-1.12
192162,96482,Rainer-Dieter Pottel,M,26.0,185.0,70.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Decathlon,,0,0,-2.9,-14.76,1.9
194767,97751,Qi Haifeng,M,21.0,195.0,85.0,China,CHN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,5.41,-2.38,-4.72
194768,97751,Qi Haifeng,M,24.0,195.0,85.0,China,CHN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,5.05,-2.35,-1.38
195442,98113,Viktor Radchenko,M,24.0,190.0,89.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,2.11,2.99,-1.03
195928,98383,Kristjan Rahnu,M,24.0,192.0,90.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,2.41,2.62,-1.72
196087,98449,Andres Raja,M,26.0,187.0,82.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,-2.95,-5.35,0.62
196243,98523,Dominique Rakotorahalahy,M,24.0,168.0,67.0,Madagascar,MAD,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,,0,0,-17.09,-17.15,-1.91
197774,99304,Roman Razbeyko,M,27.0,188.0,89.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,-0.32,4.04,-0.32
200080,100488,"Gregory Roy ""Greg"" Richards",M,32.0,194.0,92.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,,0,0,5.68,4.76,6.79
203920,102375,"Miroslav ""Miro"" Ronac Moeri",M,18.0,188.0,85.0,Peru,PER,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Decathlon,,0,0,0.1,0.24,-6.1
204346,102596,"Jacobus Cornelis ""Jack"" Rosendaal",M,22.0,184.0,84.0,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,-4.78,-1.21,-4.12
205875,103333,Michele Rfenacht,M,24.0,186.0,86.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,,0,0,-1.44,1.28,-1.12
206844,103812,Ji Ryba,M,24.0,195.0,95.0,Czech Republic,CZE,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,6.68,10.04,-3.32
208938,104884,Karl Robert Saluri,M,22.0,178.0,75.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,,0,0,-10.1,-9.3,-4.4
209029,104940,"Frederick Ameen ""Fred"" Samara",M,26.0,183.0,80.0,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,,0,0,-4.15,-5.94,1.11
210540,105718,Franco Sar,M,26.0,188.0,88.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Decathlon,,0,0,3.93,6.13,1.83
210541,105718,Franco Sar,M,30.0,188.0,88.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Decathlon,,0,0,4.05,4.29,4.33
212563,106726,Christian Schenk,M,23.0,200.0,93.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,Gold,1,0,11.68,5.76,-2.21
213198,107053,Stefan Schmid,M,30.0,186.0,78.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,-2.32,-6.96,2.68
213769,107348,Jean-Pierre Schoebel,M,23.0,188.0,88.0,France,FRA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,,0,0,2.09,3.03,-2.12
213896,107413,Florian Schnbeck,M,30.0,190.0,91.0,Germany,GER,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,0.41,3.62,4.28
214049,107482,Michael Schrader,M,21.0,184.0,81.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,-5.95,-6.35,-4.38
214138,107521,Stefan Schreyer,M,25.0,185.0,84.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,,0,0,-0.91,-0.97,-0.12
214686,107787,Eltjo Marinus Jan Schutter,M,23.0,191.0,78.0,Netherlands,NED,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,,0,0,3.85,-7.94,-1.89
214916,107889,Roland Schwarzl,M,23.0,199.0,91.0,Austria,AUT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,9.41,3.62,-2.72
215364,108127,Roman ebrle,M,25.0,186.0,88.0,Czech Republic,CZE,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,Silver,1,0,-2.32,3.04,-2.32
